JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
4618.29,3.76E-11,1.08E-13,-0.0466,0.0008,-0.0574,0.0036,1.953,0.006
4624.27,2.48E-11,1.87E-13,0.0215,0.0167,0.0244,0.0262,1.988,0.02
4654.22,5.62E-11,1.13E-13,0.0601,0.0005,0.0552,0.0035,1.856,0.004
4656.22,4.96E-11,1.68E-13,-0.0051,0.004,0.0838,0.0011,1.882,0.004
4657.24,4.89E-11,1.37E-13,0.0566,0.0077,0.0891,0.0035,1.913,0.007
4664.17,7.26E-11,9.16E-14,0.0712,0.0058,-0.04,0.001,2.086,0.004
4666.27,6.66E-11,1.07E-13,0.1849,0.0031,-0.0087,0.0029,2.098,0.004
4668.19,4.63E-11,1.24E-13,0.1065,0.0062,0.0594,0.0019,2.078,0.004
4670.27,3.86E-11,6.07E-13,0.0487,0.0305,0.0807,0.0124,2.043,0.021
4671.23,5.03E-11,7.38E-13,0.056,0.0365,0.0503,0.0032,1.854,0.019
4672.25,6.06E-11,2.83E-13,0.1352,0.0099,0.0355,0.0062,1.776,0.006
4673.24,3.71E-11,4.86E-14,0.034,0.0016,0.0683,0.0019,2.095,0.003
4676.29,3.28E-11,6.45E-14,0.0067,0.0037,0.019,0.0008,2.064,0.003
4677.23,3.47E-11,8.94E-14,-0.0025,0.0018,0.0008,0.0013,2.101,0.005
4679.22,3.01E-11,8.22E-14,-0.0059,0.0079,0.0099,0.0111,2.124,0.008
4680.13,3.40E-11,9.74E-14,0.0217,0.0028,-0.0311,0.0129,2.087,0.004
4683.2,3.25E-11,1.22E-13,-0.0232,0.0105,0.0131,0.0098,2.163,0.004
4684.28,3.16E-11,8.40E-14,-0.0176,0.0039,0.0326,0.0055,2.136,0.008
4685.24,3.23E-11,1.27E-13,0.0624,0.0344,-0.004,0.0158,2.139,0.005
4687.29,2.56E-11,7.06E-14,0.0095,0.006,-0.0029,0.0038,2.125,0.005
4688.25,2.49E-11,8.66E-14,0.018,0.015,-0.0117,0.0089,2.107,0.007
4690.2,2.39E-11,1.04E-13,-0.0306,0.0165,-0.0442,0.0417,2.047,0.009
4691.17,2.25E-11,4.17E-14,0.0157,0.0038,0.0177,0.0075,2.007,0.009
4692.16,1.83E-11,9.05E-14,0.0012,0.0135,0.0416,0.0481,2.065,0.01
4693.24,2.05E-11,9.04E-14,-0.0151,0.0119,0.0636,0.0226,2.063,0.006
4697.2,3.59E-11,4.55E-13,-0.042,0.0088,-0.0332,0.0135,2.021,0.025
4698.16,3.23E-11,1.36E-13,-0.0305,0.0146,-0.0584,0.0179,2.068,0.006
4699.07,2.52E-11,8.89E-14,0.0267,0.0046,-0.0295,0.0044,2.125,0.007
4702.12,2.88E-11,1.57E-13,-0.0003,0.0166,-0.04,0.0023,2.115,0.01
4703.2,2.92E-11,9.86E-14,0.0099,0.0071,-0.0027,0.012,2.129,0.006
4704.2,2.57E-11,1.24E-13,0.0201,0.0353,-0.0414,0.0135,2.159,0.011
4709.18,2.17E-11,5.73E-14,-0.0233,0.0011,-0.0444,0.0037,2.145,0.008
4711.16,1.66E-11,5.39E-14,-0.0302,0.0237,-0.0076,0.0022,2.091,0.011
4713.22,1.69E-11,4.36E-14,-0.0007,0.0047,0.035,0.0022,2.085,0.005
