,JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J,Flx(V)_transformed,V-J_transformed
0,4802.35,1.4699999999999998e-10,3.8500000000000003e-13,-0.0302,0.0021,0.0012,0.0042,1.646,0.004,0.9530386740331491,2.753272890972124e-05
1,4803.28,1.6299999999999998e-10,2.57e-13,-0.004,0.0017,0.0353,0.002,1.6840000000000002,0.003,0.994475138121547,0.0055529795921374974
2,5095.2,1.0699999999999999e-10,2.4100000000000003e-13,0.0743,0.0022,0.0391,0.0059,1.724,0.003,0.8342541436464088,0.011078459909470874
3,4752.26,1.51e-10,2.0300000000000002e-13,0.0336,0.0008,-0.0166,0.0025,1.74,0.002,0.9779005524861878,0.01660353877753704
4,4804.26,1.8100000000000002e-10,2.8199999999999996e-13,-0.11900000000000001,0.0028,-0.0089,0.0047,1.774,0.002,1.0,0.022128918732553616
5,4623.02,1.54e-10,2.9600000000000005e-13,-0.0078,0.0029,0.0807,0.0056,1.7830000000000001,0.003,0.9861878453038675,0.027653880511250173
6,5063.24,1.1599999999999999e-10,3.07e-13,-0.0355,0.0053,0.0109,0.0017,1.784,0.005,0.8729281767955801,0.03317870847352433
7,4999.97,8.68e-11,5.589999999999999e-13,-0.0552,0.0026,0.0102,0.006,1.791,0.009000000000000001,0.6740331491712708,0.04146604241572596
8,4755.36,1.43e-10,2.23e-13,-0.0192,0.0012,0.0363,0.0035,1.791,0.002,0.9392265193370166,0.04146604241572596
9,4709.96,7.84e-11,3.32e-13,-0.0501,0.0077,0.0197,0.0064,1.7919999999999998,0.006,0.585635359116022,0.052515681613221475
10,4751.1,1.46e-10,2.95e-13,-0.0325,0.0012,0.0084,0.0116,1.7919999999999998,0.005,0.9447513812154696,0.052515681613221475
11,5115.31,1.49e-10,2e-13,0.0022,0.0021,0.0545,0.0022,1.794,0.002,0.9723756906077348,0.060802931920159106
12,5066.29,1.31e-10,2.8300000000000006e-13,-0.0808,0.0014,0.0176,0.0032,1.7990000000000002,0.003,0.919889502762431,0.06632782679064446
13,5113.18,1.26e-10,3.01e-13,-0.0335,0.0008,0.077,0.002,1.8019999999999998,0.004,0.9116022099447514,0.07185268820702423
14,5000.99,1.13e-10,4.610000000000001e-13,-0.0982,0.0062,0.0142,0.006999999999999999,1.805,0.006999999999999999,0.8591160220994476,0.07737754962340399
15,5061.25,1.15e-10,3.34e-13,-0.096,0.0043,-0.0308,0.0016,1.807,0.005,0.8674033149171271,0.08290239431273094
16,4807.01,1.48e-10,6.829999999999999e-13,-0.0518,0.0039,-0.0435,0.0005,1.808,0.006999999999999999,0.9640883977900552,0.09118962789261578
17,4711.31,7.99e-11,2.0300000000000002e-13,0.0072,0.0015,0.018000000000000002,0.0038,1.808,0.004,0.6132596685082873,0.09118962789261578
18,4982.96,8.179999999999999e-11,2.5499999999999997e-13,0.0238,0.0054,-0.0098,0.0099,1.81,0.005,0.6353591160220995,0.0994768781995534
19,4782.25,6.22e-11,1.9899999999999999e-13,-0.0115,0.0023,0.0445,0.0064,1.8130000000000002,0.004,0.35911602209944754,0.10500173961593316
20,4754.31,1.48e-10,3.6900000000000004e-13,-0.0447,0.0015,0.0523,0.0025,1.8159999999999998,0.004,0.9640883977900552,0.11052660103231292
21,5127.27,1.06e-10,1.6899999999999999e-13,-0.1207,0.0009,-0.0822,0.0016,1.824,0.002,0.8259668508287292,0.11605154608395668
22,5062.31,1.09e-10,4.1200000000000006e-13,-0.0778,0.0031,-0.0104,0.005,1.829,0.006,0.8425414364640884,0.12157644095444205
23,4784.31,6.8e-11,1.5399999999999997e-13,-0.0505,0.0062,-0.0554,0.0015,1.83,0.006999999999999999,0.43646408839779005,0.1271012689167162
24,5067.29,1.01e-10,4.01e-13,-0.0793,0.0017,0.0184,0.0066,1.8319999999999999,0.006,0.798342541436464,0.13262611360604315
25,4785.26,6.48e-11,2.7e-13,-0.0841,0.0024,0.0263,0.005,1.8330000000000002,0.013999999999999999,0.3867403314917127,0.1381509415683173
26,5108.25,1.17e-10,3.19e-13,0.0043,0.0025,0.008,0.001,1.837,0.004,0.8812154696132597,0.14367581971174986
27,4983.97,7.390000000000001e-11,2.0699999999999998e-13,0.0273,0.0027,-0.0397,0.0034,1.839,0.006,0.5193370165745856,0.14920066440107682
28,4749.17,1.12e-10,4.57e-13,0.0151,0.0012,0.0325,0.0266,1.84,0.008,0.850828729281768,0.15748789798096163
29,4624.0,1.54e-10,2.27e-13,-0.0375,0.0038,0.0361,0.0022,1.84,0.006,0.9861878453038675,0.15748789798096163
30,4720.27,9.19e-11,2.3199999999999997e-13,0.0663,0.0026,0.0656,0.0016,1.8419999999999999,0.005,0.7237569060773481,0.16577514828789927
31,4690.31,6.629999999999999e-11,1.18e-13,-0.0228,0.0013,0.0444,0.005,1.847,0.003,0.4198895027624309,0.17130004315838462
32,5113.92,1.32e-10,4.08e-13,-0.0232,0.0017,0.0364,0.0109,1.851,0.005,0.930939226519337,0.17682492130181718
33,5118.35,1.18e-10,2.0600000000000003e-13,-0.0768,0.0008,-0.0169,0.002,1.8530000000000002,0.002,0.8895027624309392,0.18511217160875482
34,4717.29,7.900000000000001e-11,6.73e-14,-0.002,0.0009,0.0099,0.0012,1.8530000000000002,0.005,0.5966850828729282,0.18511217160875482
35,5116.22,1.2399999999999999e-10,1.7e-13,0.0043,0.0012,-0.0031,0.0025,1.854,0.003,0.9033149171270718,0.19616181080625034
36,4713.28,6.940000000000001e-11,1.77e-13,0.0233,0.0021,-0.0063,0.0024,1.854,0.004,0.4585635359116022,0.19616181080625034
37,4808.25,1.4699999999999998e-10,2.09e-13,-0.069,0.0021,0.0199,0.0007,1.855,0.004,0.9530386740331491,0.20444904438613518
38,4748.25,1.0399999999999999e-10,3.0799999999999995e-13,0.0405,0.0058,0.0659,0.0025,1.857,0.011000000000000001,0.8176795580110497,0.20997388907546213
39,4951.04,7.66e-11,1.93e-13,-0.0896,0.0021,0.0049,0.0018,1.8619999999999999,0.004,0.5580110497237569,0.21549878394594751
40,4944.95,6.690000000000001e-11,2.02e-13,-0.03,0.0016,-0.0419,0.0071,1.8659999999999999,0.006999999999999999,0.430939226519337,0.22378606770699075
41,5008.98,7.67e-11,1.5e-13,-0.0218,0.0087,-0.0572,0.0071,1.8659999999999999,0.005,0.56353591160221,0.22378606770699075
42,4781.34,7.15e-11,2.0699999999999998e-13,-0.0056,0.0138,0.0482,0.0086,1.867,0.005,0.494475138121547,0.23483570690448624
43,4976.05,5.05e-11,1.8100000000000004e-13,0.0158,0.002,-0.0202,0.0031,1.867,0.006999999999999999,0.17403314917127072,0.23483570690448624
44,4685.32,7.07e-11,3.73e-13,-0.0503,0.0038,0.0946,0.0132,1.87,0.009000000000000001,0.4861878453038674,0.24588537955608736
45,5028.99,6.92e-11,2.5599999999999997e-13,-0.019,0.0027,-0.0303,0.0042,1.87,0.005,0.4530386740331492,0.24588537955608736
46,5068.29,9.41e-11,1.4e-13,0.0008,0.0015,-0.0323,0.0032,1.871,0.002,0.7513812154696132,0.25417261313597217
47,4756.25,1.2399999999999999e-10,2.6300000000000004e-13,-0.1099,0.0024,0.0604,0.0028,1.8719999999999999,0.004,0.9033149171270718,0.25969744109824633
48,4760.25,8.51e-11,7.37e-14,-0.0255,0.003,0.0923,0.0018,1.875,0.003,0.6519337016574586,0.2652223025146261
49,5200.08,6.28e-11,9.88e-14,-0.0061,0.0033,0.0333,0.0044,1.8769999999999998,0.002,0.3701657458563536,0.27350955282156375
50,4714.32,7.37e-11,1.23e-13,-0.0298,0.0035,0.0128,0.0018,1.8769999999999998,0.004,0.5138121546961326,0.27350955282156375
51,5122.36,1.06e-10,3.1300000000000003e-13,-0.0213,0.0082,0.0047,0.0065,1.8780000000000001,0.006999999999999999,0.8259668508287292,0.28179678640144856
52,4775.36,9.26e-11,1.85e-13,0.0313,0.004,0.1211,0.0022,1.881,0.003,0.7292817679558011,0.2873216478178283
53,4757.22,1.09e-10,2.81e-13,-0.055999999999999994,0.0007,0.0431,0.002,1.883,0.004,0.8425414364640884,0.295608898124766
54,4718.32,7.83e-11,1.4400000000000002e-13,0.0056,0.0013,0.0346,0.0017,1.883,0.003,0.580110497237569,0.295608898124766
55,4965.96,5.03e-11,1.25e-13,0.0725,0.006999999999999999,-0.0103,0.0084,1.8840000000000001,0.005,0.16574585635359115,0.30665853732226145
56,4957.99,5.27e-11,3.09e-13,0.0381,0.0056,-0.0136,0.0052,1.8840000000000001,0.006999999999999999,0.20994475138121546,0.30665853732226145
57,4758.2,9.770000000000001e-11,1.47e-13,-0.0252,0.0017,0.0766,0.0013,1.885,0.002,0.7790055248618785,0.3149457709021463
58,4810.08,1.2e-10,1.5699999999999999e-13,-0.0132,0.003,0.0252,0.0006,1.886,0.002,0.8950276243093923,0.3204705988644205
59,5069.26,8.57e-11,1.9399999999999998e-13,-0.0027,0.0008,0.0304,0.0013,1.889,0.003,0.6629834254143646,0.32599546028080023
60,4715.33,8.13e-11,1.04e-13,-0.0342,0.0023,-0.0081,0.0054,1.89,0.003,0.6298342541436464,0.33428269386068504
61,4948.95,7.640000000000002e-11,2.5599999999999997e-13,-0.0246,0.0086,-0.0432,0.0045,1.89,0.005,0.5441988950276243,0.33428269386068504
62,5123.36,9.640000000000001e-11,4.74e-13,0.0845,0.0047,-0.0024,0.0066,1.892,0.009000000000000001,0.7734806629834254,0.34256994416762265
63,4617.99,1.32e-10,2.65e-13,0.0024,0.0042,0.0562,0.0139,1.893,0.005,0.930939226519337,0.3480947721298968
64,4747.27,8.320000000000001e-11,1.53e-13,-0.003,0.0016,0.1038,0.0033,1.8940000000000001,0.003,0.6408839779005525,0.35361960009217097
65,4959.96,5.3700000000000006e-11,2.2399999999999998e-13,-0.023,0.008,-0.0445,0.0066,1.9,0.006,0.2430939226519337,0.36190691730731983
66,5182.19,1.17e-10,4.04e-13,-0.0841,0.006999999999999999,-0.0804,0.0234,1.9,0.05,0.8812154696132597,0.36190691730731983
67,4976.97,5.32e-11,4.689999999999999e-13,-0.0211,0.0077,0.018000000000000002,0.0368,1.901,0.011000000000000001,0.23204419889502761,0.3729565565048153
68,5101.33,7.05e-11,2.5599999999999997e-13,-0.0326,0.0083,0.0496,0.0051,1.901,0.006,0.47513812154696133,0.3729565565048153
69,5201.23,5.3e-11,1.56e-13,-0.0194,0.0091,0.1083,0.0012,1.902,0.005,0.22375690607734805,0.38400619570231087
70,4960.98,5.89e-11,2.1500000000000002e-13,0.0079,0.0128,0.0936,0.0014,1.902,0.013000000000000001,0.30386740331491713,0.38400619570231087
71,4796.18,6.06e-11,8.45e-14,-0.017,0.0033,0.0013,0.0042,1.903,0.002,0.32044198895027626,0.3922934292821957
72,4812.2,1.03e-10,2.3100000000000003e-13,0.01,0.0007,0.0767,0.0039,1.905,0.003,0.8093922651933703,0.39781827397152264
73,5180.06,8.93e-11,1.87e-13,-0.1047,0.0064,-0.0359,0.0085,1.9080000000000001,0.003,0.6906077348066298,0.4061055410055131
74,4879.11,6.370000000000001e-11,1.36e-13,-0.0306,0.0001,-0.0378,0.0162,1.9080000000000001,0.005,0.3812154696132597,0.4061055410055131
75,4909.0,8.689999999999999e-11,1.23e-13,0.0096,0.0047,-0.0217,0.0021,1.911,0.003,0.6823204419889504,0.4143928080395035
76,5194.24,6.55e-11,9.73e-14,-0.1436,0.0031,0.0425,0.0034,1.912,0.003,0.39226519337016574,0.4226800416193883
77,5125.22,9.340000000000001e-11,1.8000000000000002e-13,-0.0238,0.002,-0.0091,0.0027,1.912,0.002,0.7348066298342542,0.4226800416193883
78,4947.99,6.56e-11,1.87e-13,-0.0397,0.0106,-0.0525,0.0086,1.916,0.006,0.39779005524861877,0.43096732538043153
79,5202.15,3.9100000000000006e-11,7.73e-14,0.0088,0.0083,-0.024,0.0019,1.9169999999999998,0.003,0.055248618784530384,0.4364921533427057
80,5228.02,9.350000000000001e-11,1.34e-13,-0.0569,0.0021,0.1014,0.0036,1.925,0.004,0.7430939226519337,0.4447795040119601
81,4691.28,7.42e-11,3.2e-13,-0.0659,0.0032,0.1153,0.0019,1.925,0.006999999999999999,0.5248618784530387,0.4447795040119601
82,4943.95,5.92e-11,1.2e-13,-0.0078,0.006999999999999999,0.0162,0.0067,1.926,0.004,0.30939226519337015,0.45306673759184496
83,5070.3,8.689999999999999e-11,9.08e-14,-0.0543,0.0034,-0.0789,0.0019,1.93,0.003,0.6823204419889504,0.4613540213528883
84,4942.95,6.16e-11,2.39e-13,-0.0591,0.0029,-0.051,0.0042,1.93,0.006999999999999999,0.3370165745856354,0.4613540213528883
85,4817.21,1e-10,2.8300000000000006e-13,-0.0078,0.001,0.0617,0.0039,1.931,0.004,0.7900552486187845,0.4696412549327731
